X,Y,Z
-45.9999999995,7.105427357604276e-15,-2.4393230490459408e-15
-42.37217653535721,2.555870179890859e-15,-2.1161903622992157e-15
-38.74435307121442,-7.194920244348313e-15,-1.5315502757013697e-15
-35.116529607071634,-2.2146943915436844e-14,-6.854027892361325e-16
-31.527641429968412,-3.3161542887149277e-14,-0.27102738392412135
-29.709559323614613,0.0,-3.194730598592388
-29.210008692099525,0.0,-6.787925055942242
-28.782807640490297,0.0,-10.390456711994371
-28.409974418098873,0.0,-13.999051427731137
-28.062154829708778,0.0,-17.610161535367276
-27.7112576088167,0.0,-21.220973042818112
-27.345194012940247,0.0,-24.83027797534539
-26.969006852332033,0.0,-28.43854405242631
-26.591702855046524,0.0,-32.046693798974985
-26.215071917482547,0.0,-35.65491387443882
-25.83499753453875,0.0,-39.26277248603584
-25.448388326475932,0.0,-42.869936551413154
-25.055946346105518,0.0,-46.47647095902387
-24.65946823573597,0.0,-50.08256401378067
-24.25914507723183,0.0,-53.68823217511477
-23.853874006108615,0.0,-57.29334741061684
-23.44282566360261,0.0,-60.897808451517406
-23.02588011848532,0.0,-64.50159210065617
-22.603045925926164,0.0,-68.1046895661818
-22.174081513175967,0.0,-71.7070622841349
-21.738436207307238,0.0,-75.30863306393897
-21.295424210250854,0.0,-78.90930501175954
-20.84459221413678,0.0,-82.50900615440025
-20.385902313088,0.0,-86.10771446363468
-19.919291269613392,0.0,-89.7054042198872
-19.443935491525345,0.0,-93.30194873640224
-18.95852572986732,0.0,-96.89714982749754
-18.46220638378196,0.0,-100.49086095752268
-17.954584978051688,0.0,-104.0829929524308
-17.434985461347388,0.0,-107.67341162058354
-16.90237670711876,0.0,-111.2619232010216
-16.35570392219677,0.0,-114.84831885187953
-15.79367659344563,0.0,-118.43233976724478
-15.214312286745024,0.0,-122.01359802909704
-14.615239604371393,0.0,-125.59161112716987
-13.994444052586594,0.0,-129.1659184403145
-13.350653100898105,0.0,-132.73615482763586
-12.680785131126134,0.0,-136.30158695950425
-11.978212782942936,0.0,-139.86071432935717
-11.241965297246615,0.0,-143.41303101836516
-10.466956009989683,0.0,-146.9570738186009
-9.632090671263768,0.0,-150.48748293422068
-8.756106089902005,0.0,-154.00794511564078
-7.789698123451592,0.0,-157.50437272205045
-6.735774159423453,0.0,-160.97567640562062
-5.799106936786338,0.0,-164.4803767529307
-4.8003862976254315,0.0,-167.9676672987497
-3.6990534773606436,1.0632165457392242e-17,-171.4242666084457
-3.00000000026,-6.046625483985862e-24,-174.96054326498557
-3.000000000259571,-1.0272862441020704e-18,-178.58836672912835
-3.000000000249095,-2.6117032477988674e-17,-182.21619019327116
-3.000000000183489,-1.83242314278873e-16,-185.84401365741394
-3.021818200583348,-5.994904035949856e-16,-189.47121656185823
-3.9030249923934104,0.0,-192.98486331313035
-4.899640623437417,0.0,-196.47288042684045
-5.748563717196875,0.0,-199.999835948014
-6.544442886886827,0.0,-203.5392792414731
-7.362686346389788,0.0,-207.07360402920924
-8.158365591361282,0.0,-210.61299245091558
-8.856444796092994,0.0,-214.17294052604163
-9.496307997110758,0.0,-217.7438594675494
-10.079725750090455,0.0,-221.32442264773843
-10.612920948810352,0.0,-224.9128285739264
-11.106840316122893,0.0,-228.5068542135233
-11.562620699713994,0.0,-232.1059169258112
-11.984070413857483,0.0,-235.7091650513839
-12.375213106210307,0.0,-239.31583109865986
-12.73856465701341,0.0,-242.9254042996886
-13.076137994150335,0.0,-246.53748058453073
-13.389483059503283,0.0,-250.15174005528982
-13.680224576898956,0.0,-253.76788901362738
-13.950329084476511,0.0,-257.38563884187596
-14.20104339301834,0.0,-261.0047844405134
-14.4328869446165,0.0,-264.6251881202011
-14.646694736906475,0.0,-268.24670214671283
-14.843670903474772,0.0,-271.8691711174412
-15.024852791147879,0.0,-275.49246468668775
-15.190657046816348,0.0,-279.1164945336421
-15.341195491547953,0.0,-282.74119069384926
-15.47705437062857,0.0,-286.3664670445501
-15.599203047976381,0.0,-289.9922315226202
-15.708275629804715,0.0,-293.6184130348735
-15.804547055169884,0.0,-297.2449570449358
-15.888237298737437,0.0,-300.8718132706765
-15.959583233185892,0.0,-304.4989333919435
-16.01884534859546,0.0,-308.12627115725854
-16.06644328149394,0.0,-311.75378086656394
-16.10289012233137,0.0,-315.38141987115176
-16.128489595159248,0.0,-319.0091516758439
-16.14335666659288,0.0,-322.63694337703515
-16.147840923549676,0.0,-326.2647629090633
-16.14615896861819,0.0,-329.8925859033613
-16.146000185804134,0.0,-333.5204093603519
-17.997176535157507,3.5527136788000004e-15,-336.0
-21.6249999993,3.5527136788000004e-15,-336.0
